race,error_type,outcome_eo,outcome_sp,prediction,ground_truth
African_American,fn,1,1,FALSE,FALSE
African_American,fp,1,0,TRUE,FALSE
Caucasian,fn,1,1,FALSE,FALSE
Caucasian,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
African_American,fp,1,0,TRUE,FALSE
African_American,tn,0,1,FALSE,TRUE
African_American,fn,1,1,FALSE,FALSE
Caucasian,tp,0,0,TRUE,TRUE
Caucasian,tp,0,0,TRUE,TRUE
African_American,tp,0,0,TRUE,TRUE
Other,tp,0,0,TRUE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,fp,1,0,TRUE,FALSE
Caucasian,fn,1,1,FALSE,FALSE
Caucasian,tp,0,0,TRUE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
African_American,fp,1,0,TRUE,FALSE
Caucasian,fp,1,0,TRUE,FALSE
African_American,tp,0,0,TRUE,TRUE
Caucasian,fp,1,0,TRUE,FALSE
African_American,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
Caucasian,fp,1,0,TRUE,FALSE
Caucasian,fp,1,0,TRUE,FALSE
African_American,tp,0,0,TRUE,TRUE
African_American,tn,0,1,FALSE,TRUE
Other,tn,0,1,FALSE,TRUE
African_American,fp,1,0,TRUE,FALSE
Caucasian,fp,1,0,TRUE,FALSE
African_American,tp,0,0,TRUE,TRUE
African_American,tn,0,1,FALSE,TRUE
Caucasian,fp,1,0,TRUE,FALSE
Hispanic,tn,0,1,FALSE,TRUE
African_American,fp,1,0,TRUE,FALSE
Caucasian,tn,0,1,FALSE,TRUE
Caucasian,tp,0,0,TRUE,TRUE
African_American,tn,0,1,FALSE,TRUE
Hispanic,tn,0,1,FALSE,TRUE
African_American,fn,1,1,FALSE,FALSE
African_American,tp,0,0,TRUE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,tp,0,0,TRUE,TRUE
Other,tn,0,1,FALSE,TRUE
Caucasian,fp,1,0,TRUE,FALSE
Caucasian,fn,1,1,FALSE,FALSE
Hispanic,tn,0,1,FALSE,TRUE
African_American,fn,1,1,FALSE,FALSE
Caucasian,fn,1,1,FALSE,FALSE
Caucasian,fn,1,1,FALSE,FALSE
African_American,tp,0,0,TRUE,TRUE
African_American,fp,1,0,TRUE,FALSE
Caucasian,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
African_American,fp,1,0,TRUE,FALSE
Caucasian,tn,0,1,FALSE,TRUE
Hispanic,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
African_American,fp,1,0,TRUE,FALSE
African_American,tn,0,1,FALSE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
Hispanic,fp,1,0,TRUE,FALSE
African_American,tp,0,0,TRUE,TRUE
Other,tn,0,1,FALSE,TRUE
Hispanic,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
Caucasian,fn,1,1,FALSE,FALSE
African_American,fn,1,1,FALSE,FALSE
Caucasian,fp,1,0,TRUE,FALSE
African_American,tn,0,1,FALSE,TRUE
Caucasian,fp,1,0,TRUE,FALSE
Caucasian,tn,0,1,FALSE,TRUE
African_American,fn,1,1,FALSE,FALSE
Caucasian,fn,1,1,FALSE,FALSE
African_American,fn,1,1,FALSE,FALSE
Other,tn,0,1,FALSE,TRUE
African_American,fp,1,0,TRUE,FALSE
African_American,tp,0,0,TRUE,TRUE
African_American,tp,0,0,TRUE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
Other,tn,0,1,FALSE,TRUE
African_American,fp,1,0,TRUE,FALSE
African_American,tn,0,1,FALSE,TRUE
Caucasian,fn,1,1,FALSE,FALSE
Hispanic,fn,1,1,FALSE,FALSE
African_American,tn,0,1,FALSE,TRUE
Hispanic,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,fn,1,1,FALSE,FALSE
Caucasian,tn,0,1,FALSE,TRUE
Caucasian,tp,0,0,TRUE,TRUE
Hispanic,tn,0,1,FALSE,TRUE
Caucasian,fn,1,1,FALSE,FALSE
Caucasian,tp,0,0,TRUE,TRUE
African_American,fn,1,1,FALSE,FALSE
African_American,tp,0,0,TRUE,TRUE
African_American,fp,1,0,TRUE,FALSE
Caucasian,tp,0,0,TRUE,TRUE
Caucasian,tp,0,0,TRUE,TRUE
Other,fn,1,1,FALSE,FALSE
Caucasian,fn,1,1,FALSE,FALSE
African_American,tn,0,1,FALSE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
Caucasian,fn,1,1,FALSE,FALSE
African_American,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,fp,1,0,TRUE,FALSE
Caucasian,fp,1,0,TRUE,FALSE
Caucasian,fp,1,0,TRUE,FALSE
African_American,tn,0,1,FALSE,TRUE
Caucasian,tp,0,0,TRUE,TRUE
Hispanic,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
Caucasian,fp,1,0,TRUE,FALSE
Other,fn,1,1,FALSE,FALSE
African_American,tp,0,0,TRUE,TRUE
African_American,fp,1,0,TRUE,FALSE
Caucasian,fn,1,1,FALSE,FALSE
African_American,fn,1,1,FALSE,FALSE
African_American,fp,1,0,TRUE,FALSE
African_American,fp,1,0,TRUE,FALSE
Hispanic,tp,0,0,TRUE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
African_American,fn,1,1,FALSE,FALSE
African_American,fp,1,0,TRUE,FALSE
African_American,tn,0,1,FALSE,TRUE
Hispanic,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,tp,0,0,TRUE,TRUE
Hispanic,fn,1,1,FALSE,FALSE
African_American,tp,0,0,TRUE,TRUE
African_American,fp,1,0,TRUE,FALSE
African_American,fn,1,1,FALSE,FALSE
African_American,fp,1,0,TRUE,FALSE
African_American,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
Caucasian,fn,1,1,FALSE,FALSE
African_American,tp,0,0,TRUE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
Caucasian,tp,0,0,TRUE,TRUE
African_American,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
African_American,fn,1,1,FALSE,FALSE
African_American,fn,1,1,FALSE,FALSE
Caucasian,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,fp,1,0,TRUE,FALSE
Caucasian,fn,1,1,FALSE,FALSE
Caucasian,fp,1,0,TRUE,FALSE
African_American,fp,1,0,TRUE,FALSE
African_American,tp,0,0,TRUE,TRUE
African_American,tp,0,0,TRUE,TRUE
Hispanic,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
Other,tn,0,1,FALSE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,tp,0,0,TRUE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
Asian,fn,1,1,FALSE,FALSE
Caucasian,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
Caucasian,fn,1,1,FALSE,FALSE
Hispanic,fn,1,1,FALSE,FALSE
African_American,tn,0,1,FALSE,TRUE
Hispanic,fp,1,0,TRUE,FALSE
African_American,fn,1,1,FALSE,FALSE
African_American,tp,0,0,TRUE,TRUE
African_American,fn,1,1,FALSE,FALSE
African_American,tn,0,1,FALSE,TRUE
African_American,fn,1,1,FALSE,FALSE
Caucasian,fp,1,0,TRUE,FALSE
Caucasian,tp,0,0,TRUE,TRUE
African_American,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,fn,1,1,FALSE,FALSE
African_American,fp,1,0,TRUE,FALSE
African_American,tn,0,1,FALSE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
Caucasian,fn,1,1,FALSE,FALSE
African_American,fn,1,1,FALSE,FALSE
Caucasian,fp,1,0,TRUE,FALSE
Caucasian,fp,1,0,TRUE,FALSE
African_American,fn,1,1,FALSE,FALSE
African_American,tn,0,1,FALSE,TRUE
African_American,fn,1,1,FALSE,FALSE
Caucasian,fn,1,1,FALSE,FALSE
African_American,tp,0,0,TRUE,TRUE
Other,tn,0,1,FALSE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
African_American,fp,1,0,TRUE,FALSE
Caucasian,fn,1,1,FALSE,FALSE
Hispanic,fn,1,1,FALSE,FALSE
African_American,tp,0,0,TRUE,TRUE
Caucasian,fn,1,1,FALSE,FALSE
Caucasian,fp,1,0,TRUE,FALSE
African_American,tp,0,0,TRUE,TRUE
African_American,tn,0,1,FALSE,TRUE
African_American,fp,1,0,TRUE,FALSE
Native_American,fp,1,0,TRUE,FALSE
African_American,fn,1,1,FALSE,FALSE
African_American,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
African_American,fp,1,0,TRUE,FALSE
Caucasian,tp,0,0,TRUE,TRUE
African_American,fn,1,1,FALSE,FALSE
Caucasian,tp,0,0,TRUE,TRUE
Caucasian,tp,0,0,TRUE,TRUE
Caucasian,fn,1,1,FALSE,FALSE
African_American,tp,0,0,TRUE,TRUE
Caucasian,fp,1,0,TRUE,FALSE
Caucasian,tn,0,1,FALSE,TRUE
Hispanic,fp,1,0,TRUE,FALSE
Caucasian,fp,1,0,TRUE,FALSE
Other,tn,0,1,FALSE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
Hispanic,fp,1,0,TRUE,FALSE
African_American,tp,0,0,TRUE,TRUE
African_American,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
Caucasian,fp,1,0,TRUE,FALSE
Caucasian,tp,0,0,TRUE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,tp,0,0,TRUE,TRUE
Caucasian,fp,1,0,TRUE,FALSE
Caucasian,fn,1,1,FALSE,FALSE
African_American,tp,0,0,TRUE,TRUE
African_American,fn,1,1,FALSE,FALSE
African_American,fp,1,0,TRUE,FALSE
Caucasian,tn,0,1,FALSE,TRUE
African_American,fp,1,0,TRUE,FALSE
Caucasian,fn,1,1,FALSE,FALSE
Asian,tn,0,1,FALSE,TRUE
African_American,fn,1,1,FALSE,FALSE
African_American,fp,1,0,TRUE,FALSE
Caucasian,tn,0,1,FALSE,TRUE
Other,fp,1,0,TRUE,FALSE
Caucasian,fn,1,1,FALSE,FALSE
African_American,fn,1,1,FALSE,FALSE
African_American,tp,0,0,TRUE,TRUE
African_American,tn,0,1,FALSE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
Other,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
African_American,fp,1,0,TRUE,FALSE
African_American,fn,1,1,FALSE,FALSE
Hispanic,fp,1,0,TRUE,FALSE
Caucasian,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,tn,0,1,FALSE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
Hispanic,tn,0,1,FALSE,TRUE
Caucasian,tp,0,0,TRUE,TRUE
Hispanic,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,fn,1,1,FALSE,FALSE
Caucasian,tn,0,1,FALSE,TRUE
African_American,fp,1,0,TRUE,FALSE
African_American,fp,1,0,TRUE,FALSE
Caucasian,fp,1,0,TRUE,FALSE
Caucasian,tn,0,1,FALSE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
Hispanic,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
Hispanic,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
Hispanic,tn,0,1,FALSE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
Caucasian,fn,1,1,FALSE,FALSE
Hispanic,fn,1,1,FALSE,FALSE
Other,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
Caucasian,fp,1,0,TRUE,FALSE
African_American,tp,0,0,TRUE,TRUE
African_American,fp,1,0,TRUE,FALSE
African_American,fp,1,0,TRUE,FALSE
African_American,tn,0,1,FALSE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
Caucasian,tp,0,0,TRUE,TRUE
Hispanic,fn,1,1,FALSE,FALSE
African_American,fp,1,0,TRUE,FALSE
African_American,tp,0,0,TRUE,TRUE
African_American,fn,1,1,FALSE,FALSE
African_American,tp,0,0,TRUE,TRUE
African_American,tn,0,1,FALSE,TRUE
Caucasian,tp,0,0,TRUE,TRUE
African_American,tn,0,1,FALSE,TRUE
African_American,fn,1,1,FALSE,FALSE
African_American,tp,0,0,TRUE,TRUE
Caucasian,fn,1,1,FALSE,FALSE
Caucasian,tn,0,1,FALSE,TRUE
Caucasian,fn,1,1,FALSE,FALSE
African_American,fp,1,0,TRUE,FALSE
Hispanic,fp,1,0,TRUE,FALSE
Caucasian,tn,0,1,FALSE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
Other,fn,1,1,FALSE,FALSE
African_American,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
African_American,fn,1,1,FALSE,FALSE
African_American,tp,0,0,TRUE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,fp,1,0,TRUE,FALSE
African_American,tp,0,0,TRUE,TRUE
Caucasian,fn,1,1,FALSE,FALSE
African_American,tp,0,0,TRUE,TRUE
Caucasian,fn,1,1,FALSE,FALSE
African_American,tp,0,0,TRUE,TRUE
Caucasian,fp,1,0,TRUE,FALSE
Hispanic,fn,1,1,FALSE,FALSE
African_American,fp,1,0,TRUE,FALSE
Caucasian,tn,0,1,FALSE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
African_American,fp,1,0,TRUE,FALSE
Caucasian,tn,0,1,FALSE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
African_American,fn,1,1,FALSE,FALSE
African_American,tp,0,0,TRUE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
African_American,fp,1,0,TRUE,FALSE
Caucasian,fp,1,0,TRUE,FALSE
African_American,tp,0,0,TRUE,TRUE
Caucasian,fp,1,0,TRUE,FALSE
African_American,tp,0,0,TRUE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,fp,1,0,TRUE,FALSE
African_American,fp,1,0,TRUE,FALSE
Other,tp,0,0,TRUE,TRUE
Other,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,tp,0,0,TRUE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
Other,fn,1,1,FALSE,FALSE
Caucasian,fn,1,1,FALSE,FALSE
Caucasian,tn,0,1,FALSE,TRUE
Hispanic,tn,0,1,FALSE,TRUE
Caucasian,tp,0,0,TRUE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,fp,1,0,TRUE,FALSE
Caucasian,fn,1,1,FALSE,FALSE
Caucasian,tp,0,0,TRUE,TRUE
African_American,fp,1,0,TRUE,FALSE
Other,fn,1,1,FALSE,FALSE
African_American,tp,0,0,TRUE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
African_American,fp,1,0,TRUE,FALSE
African_American,tn,0,1,FALSE,TRUE
African_American,fn,1,1,FALSE,FALSE
Caucasian,tp,0,0,TRUE,TRUE
Other,fn,1,1,FALSE,FALSE
African_American,tp,0,0,TRUE,TRUE
African_American,tp,0,0,TRUE,TRUE
Other,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,tp,0,0,TRUE,TRUE
Caucasian,fn,1,1,FALSE,FALSE
African_American,tp,0,0,TRUE,TRUE
Caucasian,fn,1,1,FALSE,FALSE
Caucasian,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,fn,1,1,FALSE,FALSE
African_American,fp,1,0,TRUE,FALSE
African_American,tn,0,1,FALSE,TRUE
Hispanic,fp,1,0,TRUE,FALSE
Caucasian,tn,0,1,FALSE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
Native_American,tp,0,0,TRUE,TRUE
Other,tn,0,1,FALSE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,fp,1,0,TRUE,FALSE
African_American,tp,0,0,TRUE,TRUE
African_American,fn,1,1,FALSE,FALSE
African_American,tp,0,0,TRUE,TRUE
African_American,fp,1,0,TRUE,FALSE
African_American,tp,0,0,TRUE,TRUE
Caucasian,fn,1,1,FALSE,FALSE
Caucasian,fn,1,1,FALSE,FALSE
African_American,tp,0,0,TRUE,TRUE
Caucasian,fp,1,0,TRUE,FALSE
Asian,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,tp,0,0,TRUE,TRUE
Hispanic,tn,0,1,FALSE,TRUE
Other,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
Caucasian,tp,0,0,TRUE,TRUE
Caucasian,tp,0,0,TRUE,TRUE
African_American,tp,0,0,TRUE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
African_American,fp,1,0,TRUE,FALSE
Caucasian,fn,1,1,FALSE,FALSE
African_American,tp,0,0,TRUE,TRUE
Hispanic,tn,0,1,FALSE,TRUE
Caucasian,fp,1,0,TRUE,FALSE
African_American,fp,1,0,TRUE,FALSE
Caucasian,fn,1,1,FALSE,FALSE
Caucasian,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
African_American,fp,1,0,TRUE,FALSE
African_American,fp,1,0,TRUE,FALSE
Caucasian,tp,0,0,TRUE,TRUE
Caucasian,fp,1,0,TRUE,FALSE
African_American,tn,0,1,FALSE,TRUE
Caucasian,tp,0,0,TRUE,TRUE
African_American,fn,1,1,FALSE,FALSE
African_American,fp,1,0,TRUE,FALSE
Other,tn,0,1,FALSE,TRUE
Other,tp,0,0,TRUE,TRUE
African_American,tn,0,1,FALSE,TRUE
African_American,fp,1,0,TRUE,FALSE
Hispanic,tp,0,0,TRUE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
African_American,fp,1,0,TRUE,FALSE
African_American,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,fn,1,1,FALSE,FALSE
African_American,fp,1,0,TRUE,FALSE
African_American,tp,0,0,TRUE,TRUE
African_American,tp,0,0,TRUE,TRUE
Hispanic,tp,0,0,TRUE,TRUE
Caucasian,fn,1,1,FALSE,FALSE
African_American,tp,0,0,TRUE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
Other,tn,0,1,FALSE,TRUE
Caucasian,tp,0,0,TRUE,TRUE
African_American,tp,0,0,TRUE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
African_American,fp,1,0,TRUE,FALSE
African_American,tp,0,0,TRUE,TRUE
Caucasian,fp,1,0,TRUE,FALSE
Caucasian,tp,0,0,TRUE,TRUE
African_American,fn,1,1,FALSE,FALSE
African_American,tp,0,0,TRUE,TRUE
Caucasian,fp,1,0,TRUE,FALSE
African_American,tp,0,0,TRUE,TRUE
African_American,fp,1,0,TRUE,FALSE
African_American,tp,0,0,TRUE,TRUE
Caucasian,fp,1,0,TRUE,FALSE
Caucasian,fp,1,0,TRUE,FALSE
African_American,tp,0,0,TRUE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
Caucasian,fn,1,1,FALSE,FALSE
African_American,tn,0,1,FALSE,TRUE
Hispanic,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,tp,0,0,TRUE,TRUE
Caucasian,fp,1,0,TRUE,FALSE
African_American,tp,0,0,TRUE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,tn,0,1,FALSE,TRUE
African_American,fp,1,0,TRUE,FALSE
African_American,fn,1,1,FALSE,FALSE
African_American,fn,1,1,FALSE,FALSE
Hispanic,tn,0,1,FALSE,TRUE
Caucasian,fn,1,1,FALSE,FALSE
African_American,fp,1,0,TRUE,FALSE
African_American,fn,1,1,FALSE,FALSE
Caucasian,fn,1,1,FALSE,FALSE
Caucasian,tn,0,1,FALSE,TRUE
Hispanic,fn,1,1,FALSE,FALSE
African_American,tp,0,0,TRUE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
Hispanic,tp,0,0,TRUE,TRUE
Caucasian,fp,1,0,TRUE,FALSE
Caucasian,fp,1,0,TRUE,FALSE
Caucasian,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
African_American,fn,1,1,FALSE,FALSE
Other,fp,1,0,TRUE,FALSE
Caucasian,tn,0,1,FALSE,TRUE
Caucasian,fp,1,0,TRUE,FALSE
Caucasian,tn,0,1,FALSE,TRUE
Caucasian,tp,0,0,TRUE,TRUE
Caucasian,fp,1,0,TRUE,FALSE
African_American,fp,1,0,TRUE,FALSE
Caucasian,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
Caucasian,tp,0,0,TRUE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,tp,0,0,TRUE,TRUE
Hispanic,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
African_American,fn,1,1,FALSE,FALSE
Other,tn,0,1,FALSE,TRUE
Other,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,fn,1,1,FALSE,FALSE
African_American,tp,0,0,TRUE,TRUE
Hispanic,fn,1,1,FALSE,FALSE
Hispanic,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
Other,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
Other,tn,0,1,FALSE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
African_American,fn,1,1,FALSE,FALSE
Caucasian,tp,0,0,TRUE,TRUE
African_American,tn,0,1,FALSE,TRUE
Caucasian,tp,0,0,TRUE,TRUE
Caucasian,fn,1,1,FALSE,FALSE
Hispanic,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
Other,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
Other,fn,1,1,FALSE,FALSE
Caucasian,tp,0,0,TRUE,TRUE
African_American,tn,0,1,FALSE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
Hispanic,tn,0,1,FALSE,TRUE
Hispanic,fn,1,1,FALSE,FALSE
African_American,tn,0,1,FALSE,TRUE
Caucasian,tp,0,0,TRUE,TRUE
African_American,fp,1,0,TRUE,FALSE
African_American,fn,1,1,FALSE,FALSE
African_American,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
African_American,fn,1,1,FALSE,FALSE
Caucasian,fn,1,1,FALSE,FALSE
Other,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,tn,0,1,FALSE,TRUE
Other,tn,0,1,FALSE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
Caucasian,tp,0,0,TRUE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
Hispanic,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
Other,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
Caucasian,tp,0,0,TRUE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
Caucasian,fn,1,1,FALSE,FALSE
Other,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
Other,tn,0,1,FALSE,TRUE
Other,tn,0,1,FALSE,TRUE
African_American,fp,1,0,TRUE,FALSE
African_American,tp,0,0,TRUE,TRUE
Caucasian,fn,1,1,FALSE,FALSE
Caucasian,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,fn,1,1,FALSE,FALSE
African_American,tp,0,0,TRUE,TRUE
African_American,tp,0,0,TRUE,TRUE
African_American,fp,1,0,TRUE,FALSE
Caucasian,tn,0,1,FALSE,TRUE
Hispanic,tn,0,1,FALSE,TRUE
Hispanic,fn,1,1,FALSE,FALSE
Caucasian,tp,0,0,TRUE,TRUE
African_American,tn,0,1,FALSE,TRUE
African_American,fp,1,0,TRUE,FALSE
African_American,fn,1,1,FALSE,FALSE
African_American,tp,0,0,TRUE,TRUE
African_American,fn,1,1,FALSE,FALSE
African_American,tp,0,0,TRUE,TRUE
African_American,tp,0,0,TRUE,TRUE
Hispanic,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
African_American,tp,0,0,TRUE,TRUE
Hispanic,tn,0,1,FALSE,TRUE
Caucasian,fn,1,1,FALSE,FALSE
African_American,fn,1,1,FALSE,FALSE
African_American,fn,1,1,FALSE,FALSE
Caucasian,tn,0,1,FALSE,TRUE
African_American,tn,0,1,FALSE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
African_American,fp,1,0,TRUE,FALSE
African_American,tp,0,0,TRUE,TRUE
Hispanic,tp,0,0,TRUE,TRUE
Caucasian,fn,1,1,FALSE,FALSE
Caucasian,fp,1,0,TRUE,FALSE
Caucasian,tp,0,0,TRUE,TRUE
African_American,tn,0,1,FALSE,TRUE
Caucasian,fn,1,1,FALSE,FALSE
Other,tp,0,0,TRUE,TRUE
Hispanic,tn,0,1,FALSE,TRUE
Other,fn,1,1,FALSE,FALSE
African_American,tp,0,0,TRUE,TRUE
African_American,tp,0,0,TRUE,TRUE
Caucasian,tp,0,0,TRUE,TRUE
African_American,tn,0,1,FALSE,TRUE
Caucasian,tp,0,0,TRUE,TRUE
Caucasian,tn,0,1,FALSE,TRUE
